(Intercept),mgmt_highest,"s(calcite, k = 6, bs = ""cr"")","s(currents_velocity_mean, k = 6, bs = ""cr"")","s(dhw_max_cumul, k = 6, bs = ""cr"")","s(diffuse_atn_max, k = 6, bs = ""cr"")","s(dissolved_oxygen, k = 6, bs = ""cr"")","s(gebco_depth, k = 6, bs = ""cr"")","s(method_cat, bs = ""re"")","s(par_max, k = 6, bs = ""cr"")","s(ph_mean, k = 6, bs = ""cr"")","s(region, bs = ""re"")","s(score_cn, k = 6, bs = ""cr"")","s(score_cy, k = 6, bs = ""cr"")","s(sst_annualtrend, k = 6, bs = ""cr"")","s(sst_kurtosis, k = 6, bs = ""cr"")","s(sst_max, k = 6, bs = ""cr"")","s(sst_range, k = 6, bs = ""cr"")","s(sst_skewness, k = 6, bs = ""cr"")","s(sst_var, k = 6, bs = ""cr"")","te(longitude, latitude, bs = ""gp"", k = c(10, 10), m = 2)",R^2,Dev_exp,df,logLik,AICc,delta,weight
-1.1752813852205153,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.45186338643078205,49.042005057724964,74,1264.6297085498277,-2373.252107405017,0,0.406366667824811
-1.1522763255357995,+,NA,NA,NA,NA,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4520444271659423,49.06105723405684,75,1264.9035591851564,-2372.051488469369,1.2006189356479808,0.222949749372127
-1.2014393618070578,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.45036734857846594,48.886344090387794,73,1262.3701879257646,-2371.8565412965013,1.3955661085155953,0.202243581608416
-1.18144676688289,+,NA,NA,+,NA,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4497492492205182,48.8222451343887,73,1261.4384447598002,-2368.8581483176886,4.393959087328312,0.045162917060229
-1.1654712098743643,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4497400091159155,48.82131339748212,74,1261.4245238657538,-2367.4598856242965,5.792221780720411,0.0224467308491401
-1.188996400761457,+,NA,NA,+,NA,NA,NA,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.4494396127038208,48.790042385460396,73,1260.9720819656147,-2366.934569782357,6.317537622659984,0.0172616462987797
-1.1928522199991274,+,NA,NA,+,NA,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4490869816304204,48.753284167014414,73,1260.4412817332486,-2366.851544739364,6.400562665653069,0.0165597415495891
-1.1495677711243892,+,NA,NA,NA,NA,NA,NA,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.44808749702919903,48.64949756482939,72,1258.9386451960377,-2365.608932956396,7.643174448620812,0.00889659527737969
-1.1843441627364837,+,NA,NA,+,NA,NA,NA,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.4465743249010744,48.491707427493886,70,1256.6688955343889,-2365.4331364193695,7.818970985647411,0.00814798275530362
-1.2072814146924762,+,NA,NA,+,+,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.446060273660174,48.43794975057097,70,1255.8992335804155,-2364.6980060108067,8.554101394210193,0.0056418113632677
