(Intercept),mgmt_highest,"s(calcite, k = 6, bs = ""cr"")","s(currents_velocity_mean, k = 6, bs = ""cr"")","s(dhw_max_cumul, k = 6, bs = ""cr"")","s(diffuse_atn_max, k = 6, bs = ""cr"")","s(dissolved_oxygen, k = 6, bs = ""cr"")","s(gebco_depth, k = 6, bs = ""cr"")","s(method_cat, bs = ""re"")","s(par_max, k = 6, bs = ""cr"")","s(ph_mean, k = 6, bs = ""cr"")","s(region, bs = ""re"")","s(score_cn, k = 6, bs = ""cr"")","s(score_cy, k = 6, bs = ""cr"")","s(sst_annualtrend, k = 6, bs = ""cr"")","s(sst_kurtosis, k = 6, bs = ""cr"")","s(sst_max, k = 6, bs = ""cr"")","s(sst_range, k = 6, bs = ""cr"")","s(sst_skewness, k = 6, bs = ""cr"")","s(sst_var, k = 6, bs = ""cr"")","te(longitude, latitude, bs = ""gp"", k = c(10, 10), m = 2)",R^2,Dev_exp,df,logLik,AICc,delta,weight
-1.163114218442184,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46265005906268386,50.16248676449949,80,1281.106091293634,-2393.7370633359565,0,0.513473071283126
-1.2051728084279498,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46159944155047883,50.05321978889322,78,1279.4868269846181,-2393.1853359194047,0.5517274165517847,0.389683113051556
-1.1910150039059104,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,NA,+,NA,+,0.4594803266970895,49.83377209319224,78,1276.2303332777178,-2387.774959132362,5.962104203594663,0.026053327226872
-1.1930339195692776,+,NA,NA,+,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4591079436941423,49.794940374941156,78,1275.6594026817336,-2386.8460013862923,6.891061949664163,0.0163735399084322
-1.1803266163888808,+,NA,NA,+,NA,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4593007652162212,49.81507665603443,79,1275.9549839143374,-2385.3469624570066,8.390100878949852,0.0077380301065069
-1.1636734157109847,+,NA,NA,NA,NA,NA,+,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.45860323826172855,49.74245781975442,78,1274.8862248999353,-2385.2820894150937,8.454973920862813,0.00749106237095083
-1.163803634988291,+,NA,NA,NA,+,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.45662342780431686,49.53671265614186,75,1271.8602200375701,-2384.676067878084,9.06099545787265,0.00553283231738639
-1.189569412042979,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,0.45647600564804314,49.52152784574248,75,1271.6353365991733,-2384.501640030549,9.235423305407494,0.00507073579238742
-1.19733425959989,+,NA,NA,+,+,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4570958014225446,49.58566789302378,76,1272.5812081370198,-2384.424522590902,9.31254074505432,0.00487893624710778
-1.1582316357163478,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,+,+,NA,NA,NA,NA,+,NA,+,0.4584361462438792,49.725202727630844,78,1274.630408978443,-2383.680901402598,10.056161933358453,0.00336395249288691
-1.1797431821727045,+,NA,NA,+,NA,NA,NA,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.4586304131742188,49.74573881196419,79,1274.927836836784,-2383.648305247631,10.088758088325449,0.00330957089601134
-1.1434218925554056,+,NA,NA,NA,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.45594729826641023,49.46671784653655,76,1270.829327320971,-2382.188036778168,11.549026557788238,0.0015946978899178
-1.1438939737991918,+,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.45784664093808436,49.66420454587988,78,1273.7285132792226,-2382.078355357936,11.65870797802063,0.0015095983128691
-1.1960963173074954,+,NA,NA,+,+,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.454669190911575,49.33363931175528,74,1268.8840959625247,-2382.0456501796434,11.691413156313047,0.00148511321487857
-1.2037346799821085,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,+,NA,NA,NA,NA,+,0.4576473873715783,49.643329881249265,78,1273.4238930875335,-2381.994600281922,11.742463054034488,0.00144768547860746
-1.1853947956150954,+,NA,NA,+,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.45696802458399377,49.572709122427064,77,1272.3861193239122,-2381.2169963339993,12.520067001957159,0.000981340372760426
-1.1822201256405427,+,NA,NA,+,+,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4545990522569946,49.326379104535775,74,1268.7774795660312,-2381.1011054327764,12.635957903180042,0.000926092307564279
-1.185776147224039,+,NA,NA,+,NA,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,+,NA,+,0.45803936404839896,49.6840458585005,79,1274.0232561953158,-2381.0074595491174,12.729603786839107,0.000883729457321903
-1.1845399112435817,+,+,NA,NA,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4573500454575886,49.61229979146861,78,1272.9695228209064,-2380.9354509391123,12.80161239684412,0.000852477373145554
-1.181534599028282,+,NA,NA,+,NA,NA,+,+,NA,+,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.4566471047095496,49.53964596790807,78,1271.8963433875451,-2379.690380868654,14.046682467302617,0.000457424403042837
-1.1500100576701144,+,NA,NA,NA,NA,NA,NA,+,+,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.4570872508067457,49.585618487215676,78,1272.5681516812112,-2379.50742190886,14.22964142709634,0.000417436381030527
-1.152537592042021,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,+,0.4562460438973819,49.49800051139827,77,1271.2846658363549,-2379.5071518417126,14.22991149424388,0.000417380016909785
-1.1948852780823918,+,NA,NA,+,NA,NA,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4555230438008917,49.422502441591256,76,1270.1831217405158,-2379.2231087828236,14.513954553132862,0.000362119978377481
-1.1719063279052289,+,NA,NA,+,+,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.4547315595251227,49.34072659982878,75,1268.9789127904442,-2379.2037348595622,14.533328476394217,0.000358629071479865
