(Intercept),mgmt_highest,"s(calcite, k = 6, bs = ""cr"")","s(currents_velocity_mean, k = 6, bs = ""cr"")","s(dhw_max_cumul, k = 6, bs = ""cr"")","s(diffuse_atn_max, k = 6, bs = ""cr"")","s(dissolved_oxygen, k = 6, bs = ""cr"")","s(gebco_depth, k = 6, bs = ""cr"")","s(method_cat, bs = ""re"")","s(par_max, k = 6, bs = ""cr"")","s(ph_mean, k = 6, bs = ""cr"")","s(region, bs = ""re"")","s(score_cn, k = 6, bs = ""cr"")","s(score_cy, k = 6, bs = ""cr"")","s(sst_annualtrend, k = 6, bs = ""cr"")","s(sst_kurtosis, k = 6, bs = ""cr"")","s(sst_max, k = 6, bs = ""cr"")","s(sst_range, k = 6, bs = ""cr"")","s(sst_skewness, k = 6, bs = ""cr"")","s(sst_var, k = 6, bs = ""cr"")","te(longitude, latitude, bs = ""gp"", k = c(10, 10), m = 2)",R^2,Dev_exp,df,logLik,AICc,delta,weight
-1.1969547848479012,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4304483684597775,46.808313178180214,63,1232.8583753689882,-2333.750678283999,0,0.838155637233251
-1.1621294376923046,+,NA,NA,NA,NA,NA,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.429479262316641,46.7069298942141,63,1231.4490101254326,-2330.4503544580143,3.300323825984833,0.16094165288627
-1.1548935576904455,+,NA,NA,NA,NA,NA,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4265382409432952,46.3991814878655,64,1227.1865111852965,-2320.0394980011774,13.711180282821715,0.000883038627526881
-1.170408328323792,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4230301725724239,46.03159781496935,63,1222.1306734846746,-2311.689412708234,22.061265575764992,1.35763091429841e-05
-1.1643604928731859,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.4212112679677342,45.84096159802958,62,1219.5213514081363,-2308.018375403797,25.73230288020204,2.16583863502939e-06
-1.1601554109412822,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.4205536352466639,45.77205040622066,62,1218.579957755214,-2307.8379793638082,25.912698920190905,1.97903554340789e-06
-1.1752013749666625,+,+,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4218954780456019,45.912645235704254,64,1220.5019262688336,-2307.111301202696,26.639377081303337,1.37612357953899e-06
-1.1573632836931516,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4217624910358351,45.89871807966055,65,1220.3112452615972,-2303.613513752506,30.137164531493,2.39399115886258e-07
-1.1647304476731755,+,NA,NA,NA,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4170290147998953,45.40211865983911,59,1213.5526423849863,-2303.548094900836,30.202583383163073,2.31695190607561e-07
-1.1625585669194445,+,NA,NA,NA,NA,NA,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4173570004247593,45.43656750385126,61,1214.019177779619,-2300.0049934250837,33.74568485891541,3.94041813523055e-08
-1.1716863143162473,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.41551220501475716,45.24286282919291,59,1211.3985003445991,-2299.69904668881,34.051631595189065,3.38147997211874e-08
-1.1526491788770312,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,+,+,0.4155126318621152,45.2429077468864,59,1211.3991057577355,-2298.971393245274,34.77928503872499,2.35016785547554e-08
-1.1583681947924014,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,+,0.4133449992721038,45.01522267500068,58,1208.3303593493315,-2294.451314699515,39.29936358448413,2.45231523836717e-09
-1.1646396708215292,+,NA,NA,NA,NA,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4133799412064343,45.01888295491416,59,1208.3797371373166,-2293.504380094574,40.24629818942503,1.52739744563799e-09
-1.1680183103262043,+,NA,NA,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,+,NA,NA,NA,+,0.4147152034806766,45.15916478699957,61,1210.2688544992645,-2293.255074987077,40.49560329692213,1.34839192713295e-09
-1.1666460940699117,+,NA,+,NA,NA,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,+,0.4149626997155458,45.18515780802029,62,1210.6194834112976,-2292.218396805276,41.532281478723235,8.02979276039882e-10
