(Intercept),mgmt_highest,"s(calcite, k = 6, bs = ""cr"")","s(currents_velocity_mean, k = 6, bs = ""cr"")","s(dhw_max_cumul, k = 6, bs = ""cr"")","s(diffuse_atn_max, k = 6, bs = ""cr"")","s(dissolved_oxygen, k = 6, bs = ""cr"")","s(gebco_depth, k = 6, bs = ""cr"")","s(method_cat, bs = ""re"")","s(par_max, k = 6, bs = ""cr"")","s(ph_mean, k = 6, bs = ""cr"")","s(region, bs = ""re"")","s(score_cn, k = 6, bs = ""cr"")","s(score_cy, k = 6, bs = ""cr"")","s(sst_annualtrend, k = 6, bs = ""cr"")","s(sst_kurtosis, k = 6, bs = ""cr"")","s(sst_max, k = 6, bs = ""cr"")","s(sst_range, k = 6, bs = ""cr"")","s(sst_skewness, k = 6, bs = ""cr"")","s(sst_var, k = 6, bs = ""cr"")","te(longitude, latitude, bs = ""gp"", k = c(10, 10), m = 2)",R^2,Dev_exp,df,logLik,AICc,delta,weight
-1.1831163598765273,+,NA,NA,+,NA,NA,+,+,NA,NA,+,+,+,NA,NA,NA,NA,+,NA,+,0.4646885904376661,50.374201364916814,82,1284.257028993756,-2395.4030781167926,14.910810235450299,0.000311957838657868
-1.187175465679281,+,NA,NA,+,+,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.46264308299198864,50.16169154024455,79,1281.0953289865665,-2395.089397877755,15.224490474487993,0.000266674263482278
-1.1757600202397742,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,+,NA,+,NA,+,0.4657799008293816,50.48715908958962,83,1285.9487914548286,-2394.941743433667,15.372144918575941,0.000247695632620166
-1.1875425260563186,+,NA,NA,+,NA,NA,NA,+,+,+,+,NA,NA,NA,+,NA,NA,+,NA,+,0.4658113213873759,50.4908167034399,84,1285.9975511489204,-2394.8226872162363,15.491201136006566,0.000233381066435926
-1.1464946022806992,+,NA,NA,NA,+,NA,NA,+,NA,+,+,+,+,NA,NA,NA,NA,+,NA,+,0.4634531946514805,50.24569632657867,80,1282.3460606473818,-2394.7278049698684,15.586083382374454,0.000222567732877873
-1.183282387653674,+,NA,NA,+,NA,NA,NA,+,+,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.4642347945545924,50.327425476585695,81,1283.5545641946803,-2394.4689409913785,15.844947360864353,0.000195546750428507
-1.1922124234949012,+,+,NA,+,NA,NA,NA,+,NA,NA,+,NA,+,NA,NA,NA,+,+,NA,+,0.4635766168084464,50.25928788962858,81,1282.536777909928,-2394.2253177769157,16.08857057532714,0.000173120498685844
-1.1963748549414812,+,NA,NA,+,NA,NA,NA,+,+,NA,+,+,NA,NA,+,NA,NA,+,NA,+,0.465957093223038,50.50597962397562,84,1286.2238033102808,-2393.9659942126746,16.347894139568325,0.000152067742227395
-1.200817952466531,+,NA,NA,+,NA,NA,+,+,NA,NA,+,+,NA,NA,+,NA,NA,+,NA,+,0.4654049694648381,50.44855174298939,83,1285.3671789657888,-2393.8393449056716,16.47454344657126,0.000142736666641412
-1.1785350747735481,+,NA,NA,+,NA,NA,+,+,NA,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46346337345903754,50.24723532691991,81,1282.361787721744,-2393.718957176665,16.59493117557804,0.000134398272704787
-1.1722080158530057,+,+,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4661173313756246,50.52202047418572,84,1286.4725798777702,-2393.666334450523,16.647553901719675,0.000130908186757822
-1.1745453321297747,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,+,NA,NA,+,NA,+,0.46593040850680323,50.503054255052696,84,1286.1823814005118,-2393.6353471434168,16.67854120882612,0.000128895572301544
-1.197900736492671,+,NA,NA,+,+,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,+,NA,NA,+,0.4596428155207012,49.850248878057435,75,1276.4795813485207,-2393.598934122698,16.714954229544674,0.000126570067628886
-1.1820753361503176,+,NA,NA,+,+,NA,NA,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,0.46065341666240056,49.95518832863984,77,1278.0314673678185,-2393.3094329720925,17.004455380150375,0.000109513242040478
-1.1520876706041485,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,+,+,+,0.4630540955368876,50.20451309784667,80,1281.7296555647636,-2393.2034119557243,17.110476396518607,0.000103859078477272
-1.183476907909837,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,+,+,0.4632009620753329,50.21954734508098,81,1281.9564363510083,-2393.151859397103,17.162028955139704,0.000101216186156992
-1.1962436119998217,+,+,NA,+,NA,NA,NA,+,NA,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46304767989151163,50.2040244426674,80,1281.7197503989014,-2393.0958828099556,17.2180055422873,9.84225941211388e-05
-1.1733604787114817,+,NA,NA,+,NA,NA,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.46432176167102945,50.336423531623986,82,1283.6891410407165,-2392.9451662216043,17.368722130638616,9.12782102927261e-05
-1.1945985354681885,+,+,NA,+,NA,NA,NA,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,0.46195807593863125,50.09070038739143,79,1280.039216775265,-2392.842917986926,17.470970365317044,8.67289710883644e-05
-1.1728767099801813,+,NA,NA,+,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.4621306238056184,50.1089607800609,79,1280.305116358111,-2392.6414698153076,17.67241853693531,7.84188157543888e-05
-1.1849730110037182,+,NA,NA,+,+,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,+,NA,NA,+,0.46334102323873005,50.23455111280166,81,1282.1727665726407,-2392.6153922736758,17.698496078567132,7.74029678838415e-05
-1.2004281000486838,+,NA,+,+,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46222030088004806,50.11772877668446,80,1280.4433441436975,-2392.5650632670786,17.7488250851643,7.54794641553489e-05
-1.216227389871655,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,+,NA,+,NA,+,0.463880796880605,50.28995086209349,82,1283.0069975353279,-2392.5142289912224,17.79965936102053,7.35851679778397e-05
-1.1907696099003535,+,NA,NA,+,+,NA,NA,+,NA,+,+,NA,NA,NA,+,NA,NA,+,NA,+,0.46206764452523696,50.10212449835081,79,1280.2080541914331,-2392.432319053878,17.881569298364866,7.06323683549537e-05
-1.1698283383201016,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,+,+,NA,+,0.46242486489612755,50.139260692915464,80,1280.7587443557547,-2392.3032608209724,18.01062753127053,6.6218468093657e-05
-1.1816223915908552,+,NA,NA,+,+,NA,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,+,NA,+,0.46282905745918734,50.18144681544491,81,1281.3822882002846,-2392.2962138719085,18.017674480334335,6.59855595723697e-05
-1.1984736871800992,+,NA,NA,+,+,NA,NA,+,NA,+,+,+,NA,NA,+,NA,NA,NA,NA,+,0.46183154528263115,50.077573107925474,79,1279.8442847872898,-2391.8818476687206,18.432040683522246,5.36377344938906e-05
-1.1930538363085559,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,+,NA,NA,NA,+,NA,NA,+,0.45990341265296175,49.87747722733478,77,1276.879478192729,-2391.7704550268663,18.543433325376554,5.07319810263938e-05
-1.195232283231841,+,NA,NA,+,NA,NA,+,+,NA,+,+,+,NA,NA,+,NA,NA,NA,NA,+,0.4638067207831832,50.282639358883564,82,1282.8924617337366,-2391.7548644142275,18.559023938015343,5.033804710673e-05
-1.1545616254892999,+,NA,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,+,NA,NA,+,NA,+,0.4643081323414674,50.33513840397935,83,1283.6680489565815,-2391.6961477906393,18.61774056160357,4.88816897243588e-05
-1.1612772062521224,+,NA,+,NA,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46271527707161497,50.16938681422468,81,1281.2067128933056,-2391.607484682979,18.70640366926409,4.67620197324313e-05
-1.2024355880645874,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,NA,+,NA,NA,NA,+,NA,+,0.4617710051003997,50.07108576074947,79,1279.751033337947,-2391.5834582846046,18.73043006763828,4.62036190796693e-05
-1.1631852747304674,+,NA,NA,NA,NA,+,NA,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46264332510017314,50.161930199669925,81,1281.0957024957256,-2391.5063101187407,18.807578233502227,4.44552936516893e-05
-1.1914600467605274,+,+,NA,+,NA,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.46381238607736264,50.28325296317854,82,1282.9012208022818,-2391.4350621963645,18.878826155878414,4.28994963579603e-05
-1.171511581237526,+,NA,NA,+,NA,NA,NA,+,+,NA,+,NA,+,NA,NA,NA,+,+,NA,+,0.46353425668663373,50.2554836567533,82,1282.4713162697017,-2391.3628904163274,18.95099793591544,4.13790285588592e-05
-1.1870865037711493,+,NA,NA,+,NA,NA,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.46299235763729063,50.198131373440056,81,1281.6343428410921,-2391.18198088557,19.131907466673056,3.78003903979405e-05
-1.204077098244218,+,NA,NA,+,NA,+,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4614974515287804,50.0427458253131,79,1279.3298031489594,-2390.8217987508283,19.49208960141459,3.15706648907554e-05
-1.1600611017422928,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,NA,+,NA,NA,NA,+,NA,+,0.4622617507800457,50.12230255943372,80,1280.5072425977737,-2390.740491713842,19.573396638400936,3.03129448694663e-05
-1.1823108897709924,+,NA,NA,+,NA,NA,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,0.4614347921004418,50.03645150600424,79,1279.2333474416114,-2390.571293168834,19.742595183408866,2.78539718552532e-05
-1.1563056266518759,+,NA,NA,NA,+,NA,+,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46098692431162047,49.9898174763863,79,1278.5442422063506,-2390.567374393726,19.74651395851697,2.7799448563043e-05
-1.175632135796851,+,NA,NA,+,+,NA,NA,+,NA,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46147707531286,50.040858385130406,79,1279.2984354916086,-2390.446766451916,19.867121900326765,2.61725777984431e-05
-1.189728000108858,+,+,NA,+,NA,NA,NA,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,+,0.46349974005343464,50.25121140413964,82,1282.417979465283,-2390.249724493429,20.064163858814027,2.37169796960465e-05
-1.1785818461708086,+,NA,NA,+,NA,NA,+,+,+,NA,+,NA,NA,NA,+,NA,NA,+,NA,+,0.46396776038347465,50.3000502166116,83,1283.141479924967,-2389.9920934919787,20.321794860264163,2.08504542330333e-05
-1.1607258776575693,+,+,NA,NA,NA,NA,NA,+,+,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46323195881986956,50.223418172656665,82,1282.0043072325361,-2389.9312500013966,20.382638350846264,2.02256982908762e-05
-1.2258282107102745,+,+,NA,+,NA,NA,NA,+,NA,NA,+,+,NA,NA,+,NA,NA,+,NA,+,0.4638428892539337,50.28652864881518,83,1282.9483831238795,-2389.9006156101595,20.413272742083336,1.99182578868964e-05
-1.200986685551653,+,NA,NA,+,NA,NA,NA,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,+,0.4630311281459284,50.202127359727754,82,1281.6941965739238,-2389.8703317535533,20.44355659868961,1.96189289815671e-05
-1.1926520418708768,+,NA,NA,+,+,NA,NA,+,+,NA,+,+,NA,NA,+,NA,NA,NA,NA,+,0.46211186199972465,50.10716578689372,81,1280.2761999213076,-2389.7984848120523,20.51540354019062,1.89266577980975e-05
-1.1392349299531213,+,NA,NA,NA,+,NA,NA,+,+,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46121373245977215,50.01392053567491,79,1278.893145661849,-2389.620800003187,20.69308834905587,1.73176980865604e-05
