OBJECTID,longitude,latitude
1,130.32499999999936,33.67500009431081
2,134.37500000001273,33.4750001047173
3,129.37499999964976,33.27500011579248
4,132.37499999994745,33.02500012845058
5,-64.82499999985151,32.825000139080025
6,131.9749999998521,32.825000139081055
7,132.72500000015344,32.62500014861977
8,-64.77499999994862,32.52500015374034
9,-64.72500000005171,32.52500015373818
10,-64.67500000014428,32.52500015373694
11,-64.9249999996546,32.47500015628837
12,-64.87499999975057,32.475000156289966
13,-64.8249999998528,32.47500015628828
14,-64.77499999994436,32.47500015628707
15,-64.7250000000535,32.475000156287464
16,-64.6750000001434,32.475000156289354
17,-64.62500000025842,32.47500015628703
18,-64.57500000034538,32.47500015628736
19,-64.92499999965777,32.42500015882917
20,-64.87499999974882,32.42500015882857
21,-64.82499999985187,32.42500015882836
22,-64.7749999999445,32.425000158829015
23,-64.72500000005493,32.42500015882972
24,-64.67500000014458,32.4250001588297
25,-64.62500000025506,32.42500015883047
26,-64.57500000034673,32.42500015882871
27,-64.4249999997537,32.42500015882558
28,-64.9750000000009,32.375000161350236
29,-64.92499999965278,32.375000161357526
30,-64.8749999997524,32.375000161357136
31,-64.82499999984951,32.37500016135823
32,-64.77499999994535,32.37500016135651
33,-64.72500000005445,32.37500016135607
34,-64.67500000014446,32.37500016135566
35,-64.62500000025312,32.37500016135343
36,-64.5750000003478,32.37500016135458
37,-65.07500000024967,32.32500016385131
38,-65.02500000034846,32.32500016385285
39,-64.97500000000154,32.32500016385837
40,-64.92499999965426,32.325000163852664
41,-64.87499999975373,32.32500016385503
42,-64.824999999848,32.32500016385379
43,-64.77499999994538,32.32500016385445
44,-64.72500000005466,32.325000163855044
45,-64.67500000014385,32.32500016385518
46,-64.62500000025261,32.325000163856615
47,-65.02500000034753,32.27500016636806
48,-64.97499999999891,32.27500016635992
49,-64.92499999965834,32.27500016636674
50,-64.8749999997501,32.27500016636469
51,-64.8249999998487,32.27500016636384
52,-64.77499999994619,32.27500016636427
53,-64.72500000005547,32.27500016636484
54,-64.67500000014276,32.2750001663645
55,-62.72500000000264,32.275000166358936
56,-65.02500000034863,32.22500016840219
57,-64.97499999999798,32.225000168410396
58,-64.92499999965587,32.22500016840121
59,-64.87499999974837,32.225000168400264
60,-64.82499999985211,32.22500016840232
61,-64.77499999994299,32.22500016840203
62,-64.67500000014206,32.22500016840441
63,-65.02500000035182,32.17500017043058
64,-64.97499999999663,32.17500017042363
65,-64.92499999965267,32.17500017042962
66,-64.87499999975148,32.1750001704305
67,131.47499999995088,31.2750002110843
68,130.82500000034852,30.775000232082977
69,130.8750000002547,30.775000232083205
70,131.0749999998479,30.775000232084082
71,130.8250000003479,30.7250002342064
72,130.87500000025125,30.725000234209173
73,130.9750000000487,30.7250002342086
74,131.074999999858,30.725000234209123
75,130.97500000004771,30.67500023632361
